date,PX_LAST,PX_MID,PX_BID,PX_ASK,PX_DIRTY_MID,INT_ACC,YLD_YTM_MID,YLD_YTM_BID,YLD_YTM_ASK,DUR_ADJ_MID,DUR_ADJ_OAS_MID,CONVEXITY,OAS_SPREAD_MID,Z_SPRD_MID,country,isin,security_des,MOD_DUR_CALC,CONVEXITY_CALC,MAC_DUR_CALC,PV_DIRTY_CALC
2020-01-24,44.147,44.147,43.834,44.459,44.552,,21.034,21.178,20.892,,,,,1945.178,Argentina,US040114HF05,ARGENT 6 5/8 07/06/28,4.922354553474759,34.217512455770155,5.440038581863699,44.45765574050744
2020-01-27,43.118,43.118,42.777,43.459,43.541,,21.515,21.677,21.355,,,,,2002.411,Argentina,US040114HF05,ARGENT 6 5/8 07/06/28,4.866959053537934,33.645628506586824,5.390522173722276,43.4953702656249
2020-01-28,43.814,43.814,43.544,44.083,44.256,,21.193,21.318,21.069,,,,,1964.628,Argentina,US040114HF05,ARGENT 6 5/8 07/06/28,4.896578287405707,33.95149881526602,5.415444205630654,44.20903899022004
2020-01-29,44.957,44.957,44.625,45.29,45.399,,20.675,20.823,20.527,,,,,1918.874,Argentina,US040114HF05,ARGENT 6 5/8 07/06/28,4.945837565952716,34.46182458485406,5.457113524333078,45.37522082586087
2020-01-30,45.089,45.089,44.738,45.44,45.586,,20.624,20.781,20.469,,,,,1914.682,Argentina,US040114HF05,ARGENT 6 5/8 07/06/28,4.9484565480924365,34.48909860934705,5.458741387331729,45.51433067650324
2020-01-31,44.731,44.731,44.41,45.052,45.246,,20.787,20.932,20.644,,,,,1939.52,Argentina,US040114HF05,ARGENT 6 5/8 07/06/28,4.929679915908808,34.294468817967754,5.442046197968789,45.1737415473164
2020-02-03,45.969,45.969,45.705,46.233,46.503,,20.245,20.359,20.131,,,,,1881.564,Argentina,US040114HF05,ARGENT 6 5/8 07/06/28,4.976452904093822,34.78015960433613,5.480194349310719,46.47737812990519
2020-02-04,47.637,47.637,47.37,47.903,48.189,,19.544,19.654,19.435,,,,,1804.883,Argentina,US040114HF05,ARGENT 6 5/8 07/06/28,5.044269560513643,35.48782072584744,5.537195581967037,48.16378959667202
2020-02-05,48.131,48.131,47.676,48.585,48.701,,19.344,19.53,19.161,,,,,1779.673,Argentina,US040114HF05,ARGENT 6 5/8 07/06/28,5.061867054295374,35.67202568037755,5.551450835786822,48.67773088830822
2020-02-06,47.92,47.92,47.491,48.348,48.546,,19.438,19.615,19.265,,,,,1789.827,Argentina,US040114HF05,ARGENT 6 5/8 07/06/28,5.049926796911913,35.546673082789965,5.540729182303781,48.47149158932851
